Faction,Type,Tier,Name,Description/Abilities,PreRequisite,Role,BuildCost,MetalCost,EnergyCost,EnergyProduced,MetalProduced,BuildPower
Armada,Factory,1,Seaplane Platform,Builds Seaplanes,T1 Air Worker,,12000,1450,5000,0,0,150
Armada,Factory,2,Advanced Bot Lab,Produces Tech 2 Bots,T1 Bot worker,,16224,2900,15000,0,0,600
Armada,Factory,2,Advanced Vehicle Plant,Produces Tech 2 Vehicles,T1 Veh Worker,,17940,2900,14000,0,0,600
Armada,Factory,2,Advanced Aircraft Plant,Produces Tech 2 Aircraft,T1 Air Worker,,20851,3200,29000,0,0,600
Armada,Factory,3,Experimental Gantry,Produces Experimental Units,T2 Any Worker,,61380,7900,58000,0,0,600
Cortex,Building,1,Energy Converter,Converts 70 energy into 1 metal per sec,Commander,,2682,1,1250,-70,1,
Cortex,Building,1,Naval Energy Converter,Converts 70 energy into 1.1 metal per sec,Commander,,2682,1,2500,-70,1.1,
Cortex,Building,1,Sonar Station,Early Warning System,Commander,,,20,450,0,0,
Cortex,Building,1,Beholder,Perimeter Camera,Commander,,750,32,850,-13,0,
Cortex,Building,1,Wind Turbine,Produces Energy. Depends on wind strength.,Commander,,1687,45,175,wind speed,0,
Cortex,Building,1,Metal Extractor,Extracts Metal from Metalspots,Commander,,1874,50,500,-3,metalspot,
Cortex,Building,1,Radar Tower,,Commander,,1137,60,630,0,0,
Cortex,Building,1,Tidal Generator,Produces Energy (depends on map),Commander,,2094,85,250,map,0,
Cortex,Building,1,Castro,Short Range Jamming Device,T1 Worker,,4577,115,5200,-65,0,
Cortex,Building,1,Naval Radar/Sonar Tower,,T1 Worker,,1800,130,1000,0,0,
Cortex,Building,1,Solar Collector,Produces 20 Energy,T1 Worker,,2800,150,0,20,0,
Cortex,Building,1,Energy Storage,Increases Energy Storage (6000),T1 Worker,,4257,175,1800,0,0,
Cortex,Building,1,Construction Turret,Assist & Repair in large radius. Transportable,T1 Worker,,5312,210,3200,0,0,
Cortex,Building,1,Naval Construction Turret,,T1 Worker,,1,230,2600,0,0,
Cortex,Building,1,Exploiter,Armed Metal Extractor,T1 Worker,,2724,240,1900,,metalspot,
Cortex,Building,1,Naval Energy Storage,Increases Energy Storage (6000),Commander,,7241,300,2700,0,0,
Cortex,Building,1,Metal Storage,Increases Metal Storage (3000),Commander,,2925,340,590,0,0,
Cortex,Building,1,Advanced Solar Collector,Produces 75 Energy,T1 Worker,,8143,370,4000,75,0,
Cortex,Building,1,Naval Metal Storage,Increases Metal Storage (3000),Commander,,3874,370,1600,0,0,
Cortex,Building,1,Geothermal Powerplant,Produces 300 Energy,T1 Worker,,12875,540,13000,300,0,
Cortex,Defense,1,Light Mine,Light Mine,Minelayer,,50,5,270,0,0,
Cortex,Defense,1,Dragon's Teeth,Fortification,Commander,,255,8,0,0,0,
Cortex,Defense,1,Shark's Teeth,Naval Fortification,Commander,,400,15,0,0,0,
Cortex,Defense,1,Medium Mine,Medium Mine,Minelayer,,100,16,1050,0,0,
Cortex,Defense,1,Heavy Mine,Heavy Mine,Minelayer,,125,21,1350,0,0,
Cortex,Defense,1,Heavy Mine,"Heavy Mine, Naval Series",Minelayer,,1,25,1600,0,0,
Cortex,Defense,1,Thistle,Light Anti-air Tower. Transportable (Heavy),Commander,,1749,80,850,0,0,
Cortex,Defense,1,Guard,Light Laser Tower. Transportable (Heavy),Commander,,2724,90,700,-42,0,
Cortex,Defense,1,Slingshot,Floating Anti-air Tower,Commander,,2200,90,1000,0,0,
Cortex,Defense,1,Gun Platform,light plasma defense (naval),T1 Worker,,1,120,950,,,
Cortex,Defense,1,Urchin,Offshore Torpedo Launcher,T1 Worker,,3760,170,1800,0,0,
Cortex,Defense,1,Twin Guard,Anti-Swarm Double Guard,T1 Worker,,5448,195,1750,,,
Cortex,Defense,1,Jellyfish,Coastal Torpedo Launcher,T1 Worker,,6800,250,2200,0,0,
Cortex,Defense,1,Dragon's Maw,Pop-up Flamethrower Turret,T1 Worker,,4419,290,1550,0,0,
Cortex,Defense,1,Juno,Anti Radar/Jammer/Minefield/ScoutSpam Weapon,T1 Worker,,27681,660,16000,,,
Cortex,Defense,1,Eradicator,Bomb-Resistant Medium-Range Anti-Air Missile Battery,T1 Worker,,12000,800,7900,0,0,
Cortex,Defense,1,Agitator,Medium Plasma Artillery,T1 Worker,,19268,1300,13500,0,0,
Cortex,Factory,1,Shipyard,Produces Tech 1 Ships,Commander,,6600,600,1200,,,
Cortex,Factory,1,Bot Lab,Produces Tech 1 Bots,Commander,,6500,620,1300,0,0,
Cortex,Factory,1,Vehicle Plant,Produces Tech 1 Vehicles,Commander,,7151,720,1800,0,0,
Cortex,Factory,1,Aircraft Plant,Produces Tech 1 Aircraft,Commander,,7180,840,1350,0,0,
Cortex,Factory,1,Hovercraft Platform,Builds Hovercraft,Commander,,11000,900,3000,0,0,
Cortex,Factory,1,Naval Hovercraft Platform,Builds Hovercraft,Commander,,11000,900,3000,0,0,
Cortex,Factory,1,Seaplane Platform,Builds Seaplanes,T1 Air Worker,,11800,1400,5500,0,0,
Cortex,Building,2,Shroud,Long-Range Jamming Tower,T2 worker,,9392,130,20000,-125,0,
Cortex,Building,2,Advanced Sonar Station,Extended Sonar,T2 worker,,1,160,2400,0,0,
Cortex,Building,2,Advanced Energy Converter,Converts 600 energy into 10.3 metal per sec,T2 worker,,31253,370,21000,-600,10.3,
Cortex,Building,2,Air Repair Pad,Automatically Repairs Aircraft,T2 Worker,,9315,400,4400,0,0,
Cortex,Building,2,Advanced Radar Tower,Long Range Radar,T2 Worker,,11960,560,19000,0,0,
Cortex,Building,2,Advanced Metal Extractor,Advanced Metal Extractor/Storage,T2 Worker,,14125,640,8100,-20,4 x metalspot,
Cortex,Building,2,Naval Advanced Metal Extractor,Advanced Metal Extractor/Storage,T2 Worker,,1,710,10500,,4 x metalspot,
Cortex,Building,2,Hardened Metal Storage,Increases Metal Storage (10000),T2 Worker,,20524,760,11000,0,0,
Cortex,Building,2,Pinpointer,"Enhanced Radar Targeting, more facilities enhance accuracy",T2 Worker,,10898,800,7500,-100,0,
Cortex,Building,2,Hardened Energy Storage,Increases Energy Storage (40000),T2 Worker,,20416,840,11000,0,0,
Cortex,Building,2,Advanced Geothermal Powerplant,Produces 1250 Energy (Hazardous),T2 Worker,,32078,1500,27000,1250,0,
Cortex,Building,2,Advanced Exploiter,Armed Advanced Metal Extractor,T2 Worker,,32500,2400,12000,,4 x metalspot,
Cortex,Building,2,Cerberus,Geothermal Plasma Battery,T2 Worker,,59640,3100,35000,,0,
Cortex,Building,2,Fusion Reactor,Produces 1100 Energy,T2 Worker,,75424,4500,26000,1100,0,
Cortex,Building,2,Naval Fusion Reactor,Produces 1220 Energy,T2 Worker,,1,5400,34000,1220,0,
Cortex,Building,2,Advanced Fusion Reactor,Produces 3000 Energy (Hazardous),T2 Worker,,329243,9700,48000,3000,0,
Cortex,Defense,2,Fortification Wall,Advanced Fortification,T2 worker,,900,40,500,0,0,
Cortex,Defense,2,Scorpion,Pop-up Sabot Battery,T2 worker,,15035,730,14000,,0,
Cortex,Defense,2,Nemesis,Intrusion Countermeasure System - tracks down stealthy units,T2 worker,,11955,750,6700,,0,
Cortex,Defense,2,Birdshot,Anti-Air Flak Gun,T2 worker,,20112,850,14000,0,0,
Cortex,Defense,2,Prevailer,Anti-Nuke System,T2 worker,,60000,1500,40000,,,
Cortex,Defense,2,Screamer,Long Range Anti-Air Tower,T2 worker,,28000,1650,32000,,,
Cortex,Defense,2,Persecutor,Pop-up Plasma Artillery,T2 worker,,25717,2500,17000,,,
Cortex,Defense,2,Bulwark,Energy Weapon,T2 worker,,55276,3000,37000,,,
Cortex,Defense,2,Overseer,Plasma Deflector,T2 worker,,55000,3200,55000,,,
Cortex,Defense,2,Basilisk,Long Range Plasma Cannon,T2 worker,,93237,4600,67000,,,
Cortex,Defense,2,Apocalypse,Nuclear ICBM Launcher,T2 worker,,181243,7700,82000,,,
Cortex,Defense,2,Calamity,Rapid-Fire Long-Range Plasma Cannon,T2 worker,,1400000,61000,718000,,,
Cortex,Factory,2,Advanced Vehicle Plant,Produces Tech 2 Vehicles,T1 Air Worker,,18492,2800,16000,0,0,
Cortex,Factory,2,Advanced Bot Lab,Produces Tech 2 Bots,T1 Bot worker,,16819,2900,16000,0,0,
Cortex,Factory,2,Advanced Aircraft Plant,Produces Tech 2 Aircraft,T1 Veh Worker,,20678,3200,28000,0,0,
Cortex,Factory,2,Naval Advanced Energy Converter,Converts 650 energy into 11 metal per sec,T1 Air Worker,,1,400,23500,-650,11,
Cortex,Factory,3,Experimental Gantry,Produces Experimental Units,T2 Any Worker,,67321,8350,62500,0,0,
Cortex,Defense,2,SAM,Hardened Anti-Air Missle Battery,T2 worker,,5237,315,6100,,0,
Cortex,Defense,2,Warden,Heavy Laser Tower,T2 worker,,12650,480,4700,,0,
Cortex,Defense,2,Coral,Floating Heavy Laser Tower,T2 worker,,1,480,6200,,,
Cortex,Defense,2,Janitor,Floating Anti-Air Missile Battery,T2 worker,,1,480,2400,,,
Cortex,Defense,2,Naval Birdshot,Anti-Air Flak Gun - Naval Series,T2 worker,,1,890,25000,,,
Cortex,Defense,2,Lamprey,Advanced Torpedo Launcher,T2 worker,,1,1050,8500,,,
Cortex,Defense,2,Catalyst,Tactical Missile Launcher,T2 worker,,58927,1200,14000,,,
Cortex,Defense,2,Devastator,Floating Multi-Weapon Platform,T2 worker,,1,1200,15000,,,
Cortex,Factory,1,Amphibious Complex,Produces Amphibious/Underwater Units,T1 Veh Worker,,1,1200,5600,,,
Cortex,Factory,2,Advanced Shipyard,Produces Tech 2 Ships,T1 Ship Worker,,1,3100,10000,,,
Cortex,Factory,3,Experimental Gantry 2,Produces Experimental Units,T2 Any worker,,1,8400,62000,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Legend Variable Key,,,,,,,,,,,,
metalspot,1.825,,,,,,,,,,,
windspeed,11.9,,,,,,,,,,,
